1160 793
4 0

var1 var2 var3 var4
1.28984712 1.18220377 2.20582293 2.53241252 
1.27112945 1.18116303 2.14097322 2.56504979 
1.20752591 1.28927786 2.26415914 2.66283812 
1.31726073 1.15398191 2.16500429 2.45012172 
1.27577927 1.21087165 2.10743168 2.61724977 
1.22591599 1.23573977 2.10452931 2.70229685 
1.11615908 1.46426504 2.04068029 2.61292376 
1.03730712 1.49125106 2.08769729 2.78194498 
1.20088253 1.3152204 2.06105199 2.61059338 
1.16167345 1.38509811 2.22959389 2.57127211 
1.29212145 1.25548677 2.14957503 2.77923594 
1.36165293 1.13972349 2.18944691 2.7170161 
1.26243013 1.21276565 2.04763657 2.57141945 
1.00981308 1.73781284 1.57712218 2.76016853 
1.01973972 1.83994588 1.54259412 3.08365709 
1.19882642 1.27252747 2.05020417 2.80379648 
1.0323008 1.6758992 1.54438949 3.1118946 
1.22591599 1.23573977 2.10452931 2.70229685 
1.15420748 1.32369052 2.03212343 2.59070972 
1.15408873 1.39464904 2.07372859 2.57283743 
1.27009695 1.20182838 2.08294555 2.58051206 
1.07192882 1.69784513 1.50395222 2.98198302 
1.06769187 1.49122011 1.52753776 2.89596709 
1.28917293 1.24367382 2.134064 2.60911932 
0.97557095 1.64104914 1.54432116 3.12876819 
1.25556035 1.28665475 2.10179343 2.51819886 
1.29527599 1.17431652 2.13072933 2.29564648 
1.20088253 1.3152204 2.06105199 2.61059338 
1.21521873 1.19853928 2.20151672 2.78738924 
1.39676865 1.16649391 2.0681991 2.6023871 
1.36165293 1.13972349 2.18944691 2.7170161 
1.24048628 1.21515239 2.29565682 2.72127525 
1.28853781 1.37715967 2.19202083 2.48585703 
1.07936964 1.62243357 1.76242024 2.88649499 
1.00981308 1.73781284 1.57712218 2.76016853 
1.31122008 1.21702422 2.10684886 2.55468296 
1.09498092 1.30415886 2.10858149 2.62568968 
1.08054309 1.43769123 1.9490209 2.5630492 
1.06960942 1.57009166 1.73349932 2.97929872 
1.00184821 1.51291038 1.95912187 2.80561843 
1.04405615 1.49989381 2.08153324 2.59200742 
1.24311677 1.19301638 2.17586588 2.53052905 
1.10911933 1.48614061 1.5713556 3.06140142 
1.19473667 1.24891377 2.15928251 2.56447976 
1.29212145 1.25548677 2.14957503 2.77923594 
1.3051813 1.19179348 2.09826612 2.62392921 
1.17096709 1.46908341 1.88244393 2.82041691 
0.98992933 1.71391716 1.53093933 3.03275907 
1.03554331 1.60618523 1.54937633 2.79834394 
0.95134456 1.81710107 1.57774347 2.84399346 
1.19882642 1.27252747 2.05020417 2.80379648 
1.07192882 1.69784513 1.50395222 2.98198302 
1.15420748 1.32369052 2.03212343 2.59070972 
1.28969847 1.1828315 2.21129865 2.52680019 
1.27112945 1.18116303 2.14097322 2.56504979 
1.32807267 1.14586143 2.15199065 2.65981349 
1.09042484 1.61816099 1.62872383 2.86617212 
1.25556035 1.28665475 2.10179343 2.51819886 
1.20088253 1.3152204 2.06105199 2.61059338 
1.36165293 1.13972349 2.18944691 2.7170161 
1.26243013 1.21276565 2.04763657 2.57141945 
1.22591599 1.23573977 2.10452931 2.70229685 
1.25556035 1.28665475 2.10179343 2.51819886 
1.25298135 1.27044253 2.12205091 2.66398358 
1.05383653 1.68967994 1.58397742 2.90271338 
1.15408873 1.39464904 2.07372859 2.57283743 
1.07773023 1.61169681 1.71584447 2.90845753 
1.36165293 1.13972349 2.18944691 2.7170161 
1.15420748 1.32369052 2.03212343 2.59070972 
1.29098185 1.20893491 2.0802704 2.63733985 
1.31624266 1.23543413 1.98265253 2.42710066 
1.29488106 1.30688357 2.13744985 2.70107302 
1.03226914 1.49047899 1.80808251 2.6993867 
1.09716351 1.54509055 1.58539278 3.05249947 
1.11454399 1.47864957 1.93760703 2.62631292 
1.41504934 1.15608548 2.08191771 2.58566793 
1.21521873 1.19853928 2.20151672 2.78738924 
1.19768668 1.25021072 1.9887555 2.59832255 
1.27112945 1.18116303 2.14097322 2.56504979 
1.29212145 1.25548677 2.14957503 2.77923594 
